#-----------------------------------------------------------------------------
# Date d'extraction : 13/03/2024 - 14h20 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023
# Modele     : CCLM4-8-17_MPI-ESM
# Scenario :
#     GWL20 : Niveau de réchauffement Monde 2.0 degrés -> 2050 / France +2.7°C
#-----------------------------------------------------------------------------
# Période extraite : 20 ans autour de l'année pivot 
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     RR_yr : Cumul de précipitations annuelles (mm)
#     RR_seas_JJA : Cumul de précipitations en été (mm)
#     RR_seas_DJF : Cumul de précipitations en hiver (mm)
#     RRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     Rx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     RRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     ECARTRRq99refD_yr : Ecart de fréquence des précipitations quotidienne remarquables (jour(s))
#     ECARTRELRR_yr : Ecart relatif de cumul de précipitations annuelles
#     ECARTRELRR_seas_JJA : Ecart relatif de cumul de précipitations en été
#     ECARTRELRR_seas_DJF : Ecart relatif de cumul de précipitations en hiver
#     ECARTRELRRq99_yr : Ecart relatif de cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien)
#     ECARTRELRx1d_yr : Ecart relatif de intensité des précipitations extrêmes (max annuel des  précipitations totales)
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Annee;RR_yr;RR_seas_JJA;RR_seas_DJF;RRq99_yr;Rx1d_yr;RRq99refD_yr;ECARTRRq99refD_yr;ECARTRELRR_yr;ECARTRELRR_seas_JJA;ECARTRELRR_seas_DJF;ECARTRELRRq99_yr;ECARTRELRx1d_yr;
#-----------------------------------------------------------------------------
12374;47.7409;3.2432;GWL20;2064;711.24;146.48;353.38;18.09;26.22;2;-1.7;-0.09;-0.19;0.69;-0.08;-0.16;
12374;47.7409;3.2432;GWL20;2065;786.61;167.34;176.63;18.53;71.01;3;-0.7;0.01;-0.08;-0.15;-0.06;1.27;
12374;47.7409;3.2432;GWL20;2066;770.13;192.05;206.11;32.49;75.69;6;2.3;-0.02;0.06;-0.01;0.65;1.42;
12374;47.7409;3.2432;GWL20;2067;610.19;141.08;107.73;18.98;27.25;3;-0.7;-0.22;-0.22;-0.48;-0.04;-0.13;
12374;47.7409;3.2432;GWL20;2068;1227.88;391.28;335.84;26.4;60.13;10;6.3;0.57;1.16;0.61;0.34;0.92;
12374;47.7409;3.2432;GWL20;2069;891.87;162.83;289.7;21.09;31.16;5;1.3;0.14;-0.1;0.39;0.07;0;
12374;47.7409;3.2432;GWL20;2070;600.23;122.93;291.16;23.09;39.3;5;1.3;-0.23;-0.32;0.39;0.17;0.26;
12374;47.7409;3.2432;GWL20;2071;830.39;119.03;162.61;27.22;38;6;2.3;0.06;-0.34;-0.22;0.38;0.22;
12375;47.7401;3.3499;GWL20;2052;659.64;107.6;205.43;16.41;49.72;1;-2.6;-0.16;-0.42;-0.02;-0.17;0.44;
12375;47.7401;3.3499;GWL20;2053;824.09;53.01;222.31;22.57;26.09;4;0.4;0.04;-0.71;0.06;0.14;-0.25;
12375;47.7401;3.3499;GWL20;2054;816.88;116.21;253.27;25.97;40.14;8;4.4;0.03;-0.37;0.21;0.31;0.16;
12375;47.7401;3.3499;GWL20;2055;1115.7;236.5;343.2;29.85;72.9;10;6.4;0.41;0.28;0.63;0.5;1.11;
12375;47.7401;3.3499;GWL20;2056;784.9;94.56;369.07;18.91;21.14;3;-0.6;-0.01;-0.49;0.76;-0.05;-0.39;
12375;47.7401;3.3499;GWL20;2057;658.45;189.7;220.81;18.59;34.55;3;-0.6;-0.17;0.03;0.05;-0.06;0;
12375;47.7401;3.3499;GWL20;2058;826.65;200.87;217.07;25.12;37.68;5;1.4;0.05;0.09;0.03;0.27;0.09;
12375;47.7401;3.3499;GWL20;2059;686.54;126.57;252.12;18.95;31.19;3;-0.6;-0.13;-0.31;0.2;-0.04;-0.1;
12375;47.7401;3.3499;GWL20;2060;796.84;207.1;226.37;25.3;46.74;8;4.4;0.01;0.12;0.08;0.28;0.35;
12375;47.7401;3.3499;GWL20;2061;983.88;225.88;199.91;32.76;54.82;9;5.4;0.25;0.22;-0.05;0.65;0.58;
12375;47.7401;3.3499;GWL20;2062;847.16;161.96;370.63;23.15;40.07;5;1.4;0.07;-0.12;0.77;0.17;0.16;
12375;47.7401;3.3499;GWL20;2063;852.69;112.12;319.79;24.31;38.16;5;1.4;0.08;-0.39;0.52;0.23;0.1;
12375;47.7401;3.3499;GWL20;2064;687.58;129.14;342.48;17.18;24.33;1;-2.6;-0.13;-0.3;0.63;-0.13;-0.3;
12375;47.7401;3.3499;GWL20;2065;763.66;170.95;181.76;18.41;52.61;3;-0.6;-0.03;-0.07;-0.13;-0.07;0.52;
12375;47.7401;3.3499;GWL20;2066;807.72;206.47;206.4;30.37;74.18;8;4.4;0.02;0.12;-0.02;0.53;1.14;
12375;47.7401;3.3499;GWL20;2067;608.59;152.22;112.63;21.43;26.6;4;0.4;-0.23;-0.18;-0.46;0.08;-0.23;
12375;47.7401;3.3499;GWL20;2068;1307.29;442.6;334.48;30.03;96.78;11;7.4;0.66;1.4;0.59;0.51;1.8;
12375;47.7401;3.3499;GWL20;2069;906.65;164.15;302.7;21.28;33.4;6;2.4;0.15;-0.11;0.44;0.07;-0.04;
12375;47.7401;3.3499;GWL20;2070;613.68;141.34;297.57;20.92;49.89;5;1.4;-0.22;-0.23;0.42;0.05;0.44;
12375;47.7401;3.3499;GWL20;2071;848.42;113.65;164.31;25.28;36.3;6;2.4;0.07;-0.38;-0.22;0.27;0.05;
12517;47.8129;3.2444;GWL20;2052;646.57;103.7;201.41;17.24;49.26;1;-2.6;-0.17;-0.43;-0.03;-0.11;0.45;
12517;47.8129;3.2444;GWL20;2053;783.04;60.69;199.01;18.87;24.32;3;-0.6;0.01;-0.67;-0.04;-0.02;-0.29;
12517;47.8129;3.2444;GWL20;2054;844.23;132.35;211.58;27.39;40.48;9;5.4;0.08;-0.27;0.02;0.42;0.19;
12517;47.8129;3.2444;GWL20;2055;1010.49;162.55;331.68;29.49;54.81;8;4.4;0.3;-0.11;0.6;0.53;0.61;
12517;47.8129;3.2444;GWL20;2056;768.98;95.46;360.5;14.47;25.06;2;-1.6;-0.01;-0.48;0.74;-0.25;-0.26;
12517;47.8129;3.2444;GWL20;2057;665.7;168.95;248.12;18.64;26.39;3;-0.6;-0.15;-0.07;0.2;-0.03;-0.22;
12517;47.8129;3.2444;GWL20;2058;824.73;187.16;213.24;21.04;25.5;5;1.4;0.06;0.03;0.03;0.09;-0.25;
12517;47.8129;3.2444;GWL20;2059;628.06;101.06;240.04;17.44;20.3;2;-1.6;-0.19;-0.44;0.16;-0.1;-0.4;
12517;47.8129;3.2444;GWL20;2060;692.69;154.68;229.26;20.62;34.52;5;1.4;-0.11;-0.15;0.11;0.07;0.01;
12517;47.8129;3.2444;GWL20;2061;916.59;187.13;195.9;26.48;51.08;7;3.4;0.18;0.03;-0.06;0.37;0.5;
12517;47.8129;3.2444;GWL20;2062;839.87;155.09;338.76;21.69;36.92;6;2.4;0.08;-0.15;0.63;0.12;0.09;
12517;47.8129;3.2444;GWL20;2063;858.21;135.43;321.53;27.12;38.38;7;3.4;0.1;-0.26;0.55;0.41;0.13;
12517;47.8129;3.2444;GWL20;2064;705.19;154.22;327.93;19.1;39.09;4;0.4;-0.09;-0.15;0.58;-0.01;0.15;
12517;47.8129;3.2444;GWL20;2065;763.18;182.61;181.12;22.78;54.34;4;0.4;-0.02;0;-0.13;0.18;0.6;
12517;47.8129;3.2444;GWL20;2066;737.42;180.04;180.85;30.12;65.63;7;3.4;-0.05;-0.01;-0.13;0.56;0.93;
12517;47.8129;3.2444;GWL20;2067;592.33;108.69;108.34;24.29;26.85;4;0.4;-0.24;-0.4;-0.48;0.26;-0.21;
12517;47.8129;3.2444;GWL20;2068;1154.83;355.46;327.43;29.71;43.27;7;3.4;0.48;0.95;0.58;0.54;0.27;
12517;47.8129;3.2444;GWL20;2069;845.28;143.41;281.48;20.06;26.54;5;1.4;0.09;-0.21;0.36;0.04;-0.22;
12517;47.8129;3.2444;GWL20;2070;612.43;127.06;286.12;25.44;36.11;4;0.4;-0.21;-0.3;0.38;0.32;0.06;
12517;47.8129;3.2444;GWL20;2071;865.37;172.29;156.77;23.21;96.27;5;1.4;0.11;-0.05;-0.24;0.2;1.83;
12518;47.812;3.3512;GWL20;2052;597.29;93.49;180.07;12.69;51.94;2;-1.6;-0.18;-0.46;-0.04;-0.35;0.54;
12518;47.812;3.3512;GWL20;2053;732.89;58.99;186.46;20.29;27.94;6;2.4;0.01;-0.66;-0.01;0.04;-0.17;
12518;47.812;3.3512;GWL20;2054;778.15;114.03;198.71;23.17;43.06;6;2.4;0.07;-0.34;0.06;0.19;0.28;
12518;47.812;3.3512;GWL20;2055;1013.61;223;304.49;29.32;94.46;8;4.4;0.39;0.28;0.62;0.51;1.81;
12518;47.812;3.3512;GWL20;2056;709.78;92.59;326.31;15.5;24.34;2;-1.6;-0.03;-0.47;0.74;-0.2;-0.28;
12518;47.812;3.3512;GWL20;2057;625.23;175.23;216.38;18.64;32.93;2;-1.6;-0.14;0.01;0.15;-0.04;-0.02;
12518;47.812;3.3512;GWL20;2058;772.33;190.4;191.27;21.46;27.66;5;1.4;0.06;0.09;0.02;0.1;-0.18;
12518;47.812;3.3512;GWL20;2059;600.88;113.62;217.62;19.01;21.74;3;-0.6;-0.18;-0.35;0.16;-0.02;-0.35;
12518;47.812;3.3512;GWL20;2060;665.22;155.1;206.01;18.91;34.51;3;-0.6;-0.09;-0.11;0.1;-0.03;0.03;
12518;47.812;3.3512;GWL20;2061;855.26;176.42;177.3;24.19;46.67;8;4.4;0.17;0.01;-0.06;0.24;0.39;
12518;47.812;3.3512;GWL20;2062;767.29;148.36;306.21;23.67;37.74;5;1.4;0.05;-0.15;0.63;0.22;0.12;
12518;47.812;3.3512;GWL20;2063;789.44;123.41;284.27;24.49;39.67;7;3.4;0.08;-0.29;0.52;0.26;0.18;
12518;47.812;3.3512;GWL20;2064;633.73;135.89;298.97;17.4;31.76;3;-0.6;-0.13;-0.22;0.59;-0.11;-0.06;
12518;47.812;3.3512;GWL20;2065;715.15;167.84;157.06;22.01;49.03;5;1.4;-0.02;-0.04;-0.16;0.13;0.46;
12518;47.812;3.3512;GWL20;2066;723.01;179.41;167.33;31.92;74.36;7;3.4;-0.01;0.03;-0.11;0.64;1.21;
12518;47.812;3.3512;GWL20;2067;555.96;124.97;99.53;20.6;32.84;4;0.4;-0.24;-0.28;-0.47;0.06;-0.02;
12518;47.812;3.3512;GWL20;2068;1092.76;349.7;293.2;27.1;40.06;7;3.4;0.5;1.01;0.56;0.39;0.19;
12518;47.812;3.3512;GWL20;2069;809.53;150.38;255.19;20.52;23.46;4;0.4;0.11;-0.14;0.36;0.05;-0.3;
12518;47.812;3.3512;GWL20;2070;586.3;129.23;262.52;25.1;39.4;4;0.4;-0.2;-0.26;0.4;0.29;0.17;
12518;47.812;3.3512;GWL20;2071;813.73;145.87;138.62;24.01;63.23;6;2.4;0.12;-0.16;-0.26;0.23;0.88;
